CNT,gender,immigrant_status,belonging,math_anxiety,parent_edu,parent_occ,ict_resources,ses,math_score,ses_quartile,country
PSE,Female,1.0,-0.9979,0.4067,6.0,,-1.6109,-1.3065,307.244,Q1 (Lowest),Palestine
PSE,Male,1.0,-1.0278,0.8251,6.0,17.0,-2.5572,-2.0938,341.77969999999993,Q1 (Lowest),Palestine
PSE,Male,1.0,-0.9152,,10.0,,-0.5216,-0.171,292.1351,Q2,Palestine
PSE,Male,1.0,2.2967,2.635,10.0,75.54,-1.9427,-0.0236,292.1924,Q2,Palestine
PSE,Female,1.0,-0.4798,0.133,7.0,60.92,-1.0445,-0.2255,345.9346,Q2,Palestine
PSE,Female,1.0,-0.338,-0.508,4.0,17.0,-4.9709,-3.4194,381.41309999999993,Q1 (Lowest),Palestine
PSE,Female,1.0,-0.6098,0.6647,8.0,61.18,-0.0089,0.125,400.09619999999995,Q3,Palestine
PSE,Female,1.0,-1.3854,-0.3794,7.0,17.0,-1.7227,-1.3239,325.7656,Q1 (Lowest),Palestine
PSE,Male,1.0,0.6428,-0.5191,8.0,63.31,1.0417,0.8908,494.62909999999994,Q4 (Highest),Palestine
PSE,Female,1.0,-0.3397,-0.4577,8.0,82.41,-0.3364,0.7673,380.021,Q4 (Highest),Palestine
PSE,Female,1.0,0.1129,-2.3868,10.0,71.39,-1.5897,-0.1013,308.81669999999997,Q2,Palestine
PSE,Female,1.0,0.7356,-0.2045,8.0,17.0,-1.691,-1.0945,373.88759999999996,Q1 (Lowest),Palestine
PSE,Female,1.0,0.3279,-0.4577,6.0,,-2.7457,-1.7334,326.1892999999999,Q1 (Lowest),Palestine
PSE,Female,1.0,-0.048,-0.0423,5.0,17.0,-1.9174,-1.8626,351.83279999999996,Q1 (Lowest),Palestine
PSE,Male,1.0,-0.3976,1.0161,10.0,16.5,-0.3149,-0.2559,286.5185,Q2,Palestine
PSE,Female,1.0,-0.3261,1.2587,6.0,61.18,-1.7928,-1.2125,308.43649999999997,Q1 (Lowest),Palestine
PSE,Male,,-0.4867,,5.0,75.54,-1.5021,-0.728,287.1649000000001,Q2,Palestine
